source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,NL,Netherlands,49056.0,EUR,6,Mid-level,,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,2025-07-02T12:48:18.252422
stackoverflow,NL,Netherlands,,EUR,6,Mid-level,,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252612
stackoverflow,NL,Netherlands,46704.0,EUR,8,Mid-level,Docker;Flow;Kubernetes;npm;Unity 3D,"Developer, front-end;Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.252801
stackoverflow,NL,Netherlands,,EUR,nan,Unknown,npm;Yarn,Marketing or sales professional,"Associate degree (A.A., A.S., etc.)",,2025-07-02T12:48:18.253168
stackoverflow,NL,Netherlands,,EUR,1,Junior,,"Developer, full-stack;Developer, back-end;Designer;Scientist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T12:48:18.253943
stackoverflow,NL,Netherlands,38388.0,EUR,3,Junior,Docker;Unreal Engine,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.254152
stackoverflow,NL,Netherlands,53322.0,EUR,7,Mid-level,Docker;npm,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",2025-07-02T12:48:18.254738
stackoverflow,NL,Netherlands,62387.0,EUR,37,Junior,,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.255154
stackoverflow,NL,Netherlands,49056.0,EUR,12,Junior,Terraform,"Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Designer",Some college/university study without earning a degree,100 to 499 employees,2025-07-02T12:48:18.255357
stackoverflow,NL,Netherlands,93846.0,EUR,12,Junior,Ansible;Docker;Kubernetes,"Engineer, data;Developer, full-stack;Developer, back-end;DevOps specialist;Data or business analyst","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.255603
stackoverflow,NL,Netherlands,213287.0,EUR,1,Junior,,"Developer, embedded applications or devices",Some college/university study without earning a degree,"1,000 to 4,999 employees",2025-07-02T12:48:18.255643
stackoverflow,NL,Netherlands,,EUR,nan,Unknown,npm;Yarn,"Developer, full-stack;Student",Something else,,2025-07-02T12:48:18.256444
stackoverflow,NL,Netherlands,51192.0,EUR,4,Mid-level,,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.256685
